,fighter1,fighter2,event_name,event_date,details,result,fighter_name
0,Dylan Andrews,Papy  Abedi,UFC,"Aug 28, 2013",Condit vs. Kampmann 2 Condit vs. Kampmann 2:Live from Indianapolis,Loss,Papy  Abedi
1,Papy  Abedi,Besam Yousef,UFC Sweden 2013 Live from Stockholm,"Apr 6, 2013",Mousasi vs. Latifi,Win,Papy  Abedi
2,Papy  Abedi,James Head,UFC® Live,"Apr 14, 2012",Gustafsson vs. Silva,Loss,Papy  Abedi
3,Thiago Alves,Papy  Abedi,UFC® 138,"Nov 5, 2011",LEBEN vs. MUNOZ,Loss,Papy  Abedi
0,Ricardo Abreu,Jake Collier,UFC Fight Night Boetsch vs. Henderson,"Jun 6, 2015",TSN 5,Loss,Ricardo Abreu
1,Ricardo Abreu,Wagner Silva,UFC Fight Night Miocic vs. Maldonado,"May 31, 2014",UFC Fight Pass,Win,Ricardo Abreu
0,Yoshihiro Akiyama,Alberto Mina,UFC Fight Night Henderson vs Masvidal,"Nov 28, 2015",Fight Network,Loss,Yoshihiro Akiyama
1,Yoshihiro Akiyama,Amir Sadollah,UFC Fight Night Hunt vs. Nelson,"Sep 20, 2014",UFC FIGHT PASS,Win,Yoshihiro Akiyama
2,Yoshihiro Akiyama,Jake Shields,UFC® 144,"Feb 25, 2012",Edgar vs. Henderson,Loss,Yoshihiro Akiyama
3,Vitor Belfort,Yoshihiro Akiyama,UFC® 133,"Aug 6, 2011",Evans vs. Ortiz,Loss,Yoshihiro Akiyama
4,Michael Bisping,Yoshihiro Akiyama,UFC® 120,"Oct 16, 2010",BISPING vs AKIYAMA,Loss,Yoshihiro Akiyama
5,Chris Leben,Yoshihiro Akiyama,UFC® 116,"Jul 3, 2010",LESNAR vs CARWIN,Loss,Yoshihiro Akiyama
6,Yoshihiro Akiyama,Alan Belcher,UFC® 100,"Jul 11, 2009",Lesnar vs. Mir II,Win,Yoshihiro Akiyama
7,Yoshihiro Akiyama,Masanori Tonooka,DREAM 6,"Sep 23, 2008",Middleweight Grand Prix 2008 Final Round,Win,Yoshihiro Akiyama
8,Yoshihiro Akiyama,Katsuyori Shibata,DREAM 5,"Jul 21, 2008",Lightweight Grand Prix 2008 Final Round,Win,Yoshihiro Akiyama
9,Yoshihiro Akiyama,Kazuo Misaki,Yarrenoka! - New Year's Eve 2007,"Dec 31, 2007",,NO CONTEST,Yoshihiro Akiyama
10,Yoshihiro Akiyama,Denis Kang,K-1 Hero's Korea 2007,"Oct 28, 2007",,Win,Yoshihiro Akiyama
11,Yoshihiro Akiyama,Kazushi Sakuraba,K-1 Dynamite!! 2006,"Dec 31, 2006",,NO CONTEST,Yoshihiro Akiyama
12,Yoshihiro Akiyama,Melvin Manhoef,K-1 Hero's 7,"Oct 9, 2006",,Win,Yoshihiro Akiyama
13,Yoshihiro Akiyama,Kestutis Smirnovas,K-1 Hero's 7,"Oct 9, 2006",,Win,Yoshihiro Akiyama
14,Yoshihiro Akiyama,Taiei Kin,K-1 Hero's 6,"Aug 5, 2006",,Win,Yoshihiro Akiyama
15,Yoshihiro Akiyama,Katsuhiko Nagata,K-1 Hero's 5,"May 3, 2006",,Win,Yoshihiro Akiyama
16,Yoshihiro Akiyama,Tokimitsu Ishizawa,K-1 Hero's 4,"Mar 15, 2006",,Win,Yoshihiro Akiyama
17,Yoshihiro Akiyama,Masakatsu Okuda,K-1 Hero's Seoul,"Nov 5, 2005",,Win,Yoshihiro Akiyama
18,Yoshihiro Akiyama,Michael Lerma,K-1 World MAX 2005 Champions Challenge,"Oct 12, 2005",,Win,Yoshihiro Akiyama
19,Yoshihiro Akiyama,Carl Toomey,K-1 Hero's 2,"Jul 6, 2005",,Win,Yoshihiro Akiyama
20,Jerome LeBanner,Yoshihiro Akiyama,K-1 Hero's 1,"Mar 26, 2005",,Loss,Yoshihiro Akiyama
