,event_name,event_date,details,wad,wwcd,wlcd,wswd,wkowd,wrd,wlrd,wtsd,wssd,wsdd,wspd,wcpd,wgpd,wttdd,wstdd,wtddd,wssubd,wspassd,wssweepd,winner_lable,finghter1wins,fighter2wins,winner,looser,fighter1,fighter2,fighter_name,result,end_round,finish_method,fighter1_str,fighter2_str,fighter1_td,fighter2_td,fighter1_sub,fighter2_sub,fighter1_pass,fighter2_pass
2367,UFC Fight Night Almeida vs. Garbrandt,2016-05-29 00:00:00,TSN 5,4,1,2,0,6,-2,-1,536,222,0.05,-0.22,0.23,0,22,10,0.2,-1,-6,-1,1,1,0,Abel Trujillo,Jordan Rinaldi,Abel Trujillo,Jordan Rinaldi,Abel Trujillo,Win,R3,Decision - Unanimous,35,18,3,2,0,1,0,1
1686,UFC Fight Night Bermudez vs Korean Zombie,2017-02-04 00:00:00,Live on TSN,4,2,6,-4,2,-6,-4,-361,-122,-0.03,-0.36,0.23,0.24,27,13,-0.17,-2,1,-2,2,0,1,James Vick,Abel Trujillo,Abel Trujillo,James Vick,Abel Trujillo,Loss,R3,Submission,11,25,1,1,0,3,0,2
4650,UFC Fight Night Live on Sportsnet 360,2013-12-14 00:00:00,Johnson vs. Benavidez 2,0,15,8,2,4,2,39,449,194,0.09,-0.32,0.23,0.24,26,10,0.13,0,4,0,1,1,0,Abel Trujillo,Roger Bowling,Abel Trujillo,Roger Bowling,Roger Bowling,Loss,R2,KO/TKO,43,9,5,0,0,0,2,0
119,UFC Fight Night Hunt vs Oleinik,2018-09-15 00:00:00,Live on Fight Network,1,-1,1,-2,0,-5,-1,-355,-174,-0.18,0.33,0,-0.28,-26,-11,-0.75,-4,-9,0,2,0,1,Jordan Johnson,Adam Yandiev,Adam Yandiev,Jordan Johnson,Adam Yandiev,Loss,R2,Submission,1,35,0,3,0,2,0,4
2914,UFC 192 Cormier vs. Gustafsson,2015-10-03 00:00:00,Live on Pay-Per-View,8,12,8,-1,2,2,0,68,2,0,0.49,0,-0.48,-10,-9,-0.18,-2,-18,-2,1,1,0,Adriano Martins,Islam Makhachev,Adriano Martins,Islam Makhachev,Islam Makhachev,Loss,R1,KO/TKO,3,4,0,0,0,0,0,0
4735,UFC Fight Night Live on Sportsnet 360,2013-11-09 00:00:00,Belfort vs. Henderson,2,28,9,2,-2,0,40,-767,-278,0.08,0.21,-0.16,-0.11,-38,-14,0.22,0,0,-2,1,1,0,Adriano Martins,Daron Cruickshank,Adriano Martins,Daron Cruickshank,Adriano Martins,Win,R2,Submission,16,8,1,0,1,0,3,0
975,UFC 217 Bisping vs St-Pierre,2017-11-04 00:00:00,Live on Pay-Per-View,7,-5,0,0,-2,-3,-2,-111,-51,0.04,0.13,0,-0.13,-7,-4,-0.01,-2,-3,1,2,0,1,Ricardo Ramos,Aiemann Zahabi,Aiemann Zahabi,Ricardo Ramos,Aiemann Zahabi,Loss,R3,KO/TKO,46,42,0,3,0,0,0,1
3680,The Ultimate Fighter Esparza vs. Namajunas,2014-12-12 00:00:00,Sportsnet 360,-10,-5,-5,0,0,1,1,-54,-33,0.05,-0.49,0.03,0.46,-5,-2,-0.2,-1,2,0,1,1,0,Aisling Daly,Alex Chambers,Aisling Daly,Alex Chambers,Alex Chambers,Loss,R1,Submission,16,12,1,1,1,0,4,1
2890,UFC Fight Night Holohan vs. Smolka,2015-10-24 00:00:00,UFC FIGHT PASS,1,0,0,2,0,-4,-1,115,70,0.12,-0.34,-0.14,0.57,9,4,-0.05,2,5,0,1,1,0,Aisling Daly,Ericka Almeida,Aisling Daly,Ericka Almeida,Ericka Almeida,Loss,R3,Decision - Unanimous,59,19,2,1,0,0,2,2
3864,UFC Fight Night Nelson vs. Story,2014-10-04 00:00:00,UFC FIGHT PASS,10,-19,-3,-4,-16,-2,-42,-2733,-1198,-0.15,0.1,0.01,-0.11,2,-2,0.04,-7,-17,0,2,0,1,Max Holloway,Akira Corassani,Akira Corassani,Max Holloway,Akira Corassani,Loss,R1,KO/TKO,11,31,0,0,0,0,0,0
4690,TUF 18 Finale Live on Sportsnet 360,2013-11-30 00:00:00,Maynard vs. Diaz,1,0,0,0,-2,-4,-37,-435,-192,-0.16,0.04,-0.02,0,-23,-9,0.23,-2,-4,-2,1,1,0,Akira Corassani,Maximo Blanco,Akira Corassani,Maximo Blanco,Akira Corassani,Win,R1,DQ,1,5,0,1,0,0,0,0
4781,UFC Fight Night Live on Sportsnet,2013-10-26 00:00:00,Machida vs. Munoz,0,13,4,-4,8,-1,-1,701,245,0.03,0.28,-0.25,-0.14,1,-4,0.06,1,-1,0,1,1,0,Al Iaquinta,Piotr Hallmann,Al Iaquinta,Piotr Hallmann,Al Iaquinta,Win,R3,Decision - Unanimous,85,66,2,3,0,0,0,0
4273,UFC 173 Barao vs. Dillashaw,2014-05-24 00:00:00,Live on Pay-Per-View,-1,2,-1,-2,8,-3,0,824,360,0.14,0.14,-0.23,0,8,5,0.27,1,4,-2,2,0,1,Mitch Clarke,Al Iaquinta,Al Iaquinta,Mitch Clarke,Al Iaquinta,Loss,R2,Submission,13,8,1,0,2,1,6,0
1500,UFC Fight Night Swanson vs Lobov,2017-04-22 00:00:00,Live on TSN 5,-5,-17,-7,-2,1,-2,0,-1278,-419,0.04,0.3,0,-0.3,-125,-23,0.26,-15,-36,-3,1,1,0,Al Iaquinta,Diego Sanchez,Al Iaquinta,Diego Sanchez,Diego Sanchez,Loss,R1,KO/TKO,12,4,0,0,0,0,0,0
4543,UFC 169 Live on Pay-Per-View,2014-02-01 00:00:00,Barao vs. Faber,5,-3,0,-8,6,-7,1,17,-59,0.1,0.41,-0.11,-0.41,-47,-24,0.02,-8,-36,-1,1,1,0,Al Iaquinta,Kevin Lee,Al Iaquinta,Kevin Lee,Kevin Lee,Loss,R3,Decision - Unanimous,49,39,0,1,1,2,0,1
3950,UFC Fight Night Jacare vs. Mousasi,2014-09-05 00:00:00,UFC FIGHT PASS,-7,13,4,-2,8,-1,40,367,180,0.05,-0.07,0,0,11,5,-0.03,1,5,0,1,1,0,Al Iaquinta,Rodrigo Damm,Al Iaquinta,Rodrigo Damm,Al Iaquinta,Win,R3,KO/TKO,93,57,0,0,0,0,0,0
8157,UFC® Fight Night™,2008-09-17 00:00:00,Diaz vs Neer,-4,-24,-14,-2,1,-2,-42,-364,-252,0.15,0.24,-0.1,-0.12,-47,-28,-0.06,-8,-27,-3,1,1,0,Alan Belcher,Ed Herman,Alan Belcher,Ed Herman,Ed Herman,Loss,R3,Decision - Split,54,43,0,5,0,2,0,6
6361,UFC® Fight Night™ Live,2011-09-17 00:00:00,SHIELDS vs. ELLENBERGER,-9,0,0,-4,4,75,0,643,242,0.13,0.5,-0.31,-0.18,-34,-4,0.2,-3,-4,-2,1,1,0,Alan Belcher,Jason MacDonald,Alan Belcher,Jason MacDonald,Jason MacDonald,Loss,R1,KO/TKO,25,2,0,0,0,0,2,0
3106,UFC Fight Night Mir vs. Duffee,2015-07-15 00:00:00,TSN 4/5,8,16,6,0,6,-3,-3,630,383,0.06,0.04,-0.06,0,-4,2,0.03,0,3,0,1,1,0,Alan Jouban,Matt Dwyer,Alan Jouban,Matt Dwyer,Alan Jouban,Win,R3,Decision - Unanimous,51,29,1,0,0,0,0,0
1189,UFC Fight Night Pettis vs Moreno,2017-08-05 00:00:00,Live on TSN 5,7,4,4,-4,4,-3,-1,540,367,0.05,0.11,0.01,-0.2,-8,-1,-0.12,-5,-3,-2,2,0,1,Niko Price,Alan Jouban,Alan Jouban,Niko Price,Niko Price,Win,R1,KO/TKO,5,10,0,0,0,0,0,1
1760,UFC Fight Night VanZant vs Waterson,2016-12-17 00:00:00,Live on TSN 4 & 5,9,4,2,0,0,2,2,84,107,0.03,0.02,0.01,0,-3,-2,-0.05,0,-7,0,1,1,0,Alan Jouban,Mike Perry,Alan Jouban,Mike Perry,Alan Jouban,Win,R3,Decision - Unanimous,69,37,2,0,0,0,0,0
2292,UFC Fight Night Dos Anjos vs. Alvarez,2016-07-07 00:00:00,Live on Fight Network,6,2,4,0,6,1,1,-84,51,0.01,-0.09,0.14,0,-32,-12,-0.27,-1,-9,0,1,1,0,Alan Jouban,Belal Muhammad,Alan Jouban,Belal Muhammad,Belal Muhammad,Loss,R3,Decision - Unanimous,86,77,0,2,0,0,2,0
